review,label
업뎃 언제 하냐 빨랑 나와라,1
혼자하면 개무서운데 같이하면 재밌는게임,1
걍 ㅈㄴ재미있음 할인할때 무조건 사셈 ㅇㅇ,1
게임을 거의 안하고 그낭 모바일 무료 게임이나 동물의숲 정도만 하다가 거의 처음으로 시도해본 스팀게임인데 돈 하나도 아깝지 않고 너무 재미있게 플레이하느라 금방 100시간이 지나가버림 동숲이랑 느낌은 비슷한데 할거도 더 많고 좀 더 자유도가 높아서 좋다,1
"이 게임이 평가가 좋아졌다는 소식을 듣고 구매한 사람임 처음엔 별 기대 없이 가볍게 하려고 구매했고, 극초반엔 그냥 마인크래프트마냥 광질하고 건설하는 게임인건가? 싶었는데 우주선을 가동하면서 완전히 새로운 경험을 했음.  우주선에 처음 들어갔을때 그 분위기에 한번 놀라고 외계인들과 대화하면서 언어를 습득하는 디테일에 두번 놀람. 종족이 적은건 아쉬웠지만 이 게임의 무궁무진한 자유도와 비현실적이면서도 개성있는 외계생물학을 좋아하는 사람들이라면 서브노티카 다음으로 좋아할만한 기이한 외계 생물들, 정말로 내가 게임이 아닌 실제 우주에서 우주선을 조종하고 미지의 행성을 탐사하는 그런 엄청나게 매력적인 경험을 선사해준 좋은 게임임.  아직 많이 플레이하진 않았는데 앞으로도 자주 할 것 같음. 어렸을 때 스포어를 했던 내가 커서 노맨즈 스카이를 하며.",1
모니터를 눈이 아플 정도로 밝게 하지 않으면 안 보이는 명암처리   너무 많은 버그  게임 처음 만들어 보는 사람이 만든듯한 정말 불편한 UI  그 외 기타 등등 너무 불편한게 많음  ,0
왜안죽냐,0
아쉬운 점도 있지만 이장르에선 대체 불가인거 같습니다  스페이스 오페라 게임에선 돋보적이라 할수 있겠습니다  2년뒤 복귀유저라서 솔플로도 할 컨텐츠가 천지입니다  웅장한 스토리와 스케일의 FPS를 하고 싶다면 지금 하셔도 후회 없을 겁니다,1
아직 아무것도 모르는 뉴비지만 재밋음,1
컨텐츠 추가가 미쳤어요 업데이트가 계속 되는게 진짜 신기방기 할인할때 사두고 6개월 정도 텀주고 하면 계속 새로운 겜이 되는 매직,1
대체제가 많은데 굳이 이 겜을 선택해서 돈주고 살 메리트는 없음,0
"이 게임은 두 번 해봐야한다.     혼자서 한 번, 그리고 친구들과 한 번.",0
납치 야발,0
친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요친구랑 하지마세요,0
잘만든 겜,0
게임은 재밌는데 더빙 솔직히 라라랑 진짜 안맞음,1
최고의 농장 게임,1
순수노잼..,0
초보자 입샐 학살용,0
한 5시간 정도만 플레이하면 색적 잘됨. 그리고 친구 있으면 정찰분대랑 전차 꼭 타보셈. 개꿀잼임,1
안톤 시새발끼 업티어 좀 작작 보내라,0
총을 쏘는그 손맛!  살아있네,1
할인때 무조건 쟁여둬야할 게임  안해본 사람이 거의 없을걸?,1
"나도 왜 하는진 모르겠는데 그냥 하게 됨,,,",1
현대 스토리는 여전히 병신 발할라 하고 오면 무슨 말인지 알꺼임. 이리 저리 열심히 굴렀더니만 그저 지팡이 셔틀 병신 주인공 과거 스토리나 게임 플레이는 깔게 없는데 현대는 개 씹,0
"다회차 강요하는 것 같은 기분이 들어서 불편하기도 한데  그만큼 선택지가 많다는 뜻이니까 사실 장점이다,    그리고 1회차 엔딩까지 싹싹 긁어먹었는데도 2회차 꼭 해보고 싶어졌다.    잠입 해킹트리를 탄 1회차에선   일정 수준 파밍하고 부턴 그렇게까지 강해진다는 느낌이 없어서  전투를 즐기고 싶다면 초반에 잠입 하다가 산데비스탄이나 버서크로 넘어가는게 좋을 것 같다,  파밍 열심히 해도 레벨 스케일링 되는게 어쩔 수 없다는 걸 알지만서도 조금은 아쉬운 면이기도 하다..    ",1
심심해서 발만 살짝 담갓는데 재미는있슴 (아직도 뉴비임),1
살 생각 하지도말고 방송이나 봐라,0
재미따,1
친구가 힐링 게임 같이 하자고해서 한 1시간 정도 플레이 해봤는데 낚시만 하루종일 하니까  이게 무슨 게임인지 이해가 되지않을 뿐더러 이걸 왜 하고 있지? 라는 생각이 드는 게임 앞으로 죽을떄까지 할 생각없을듯?  하다보면 재밌다 하다보면 재밌다 하는데  잘 모르겠음 힐링게임보단 노동게임 시간 빌게이츠들이 하면 좋을 것 같다 아 내가 이제 알바라도 해야하는 개 백수라면 일 하러 가기전에 일하는 연습 한다 생각하고  한번 플레이 해보면 좋을 게임,1
무고벤을 하는 시스템은 매우 훌륭하지 아니하지만 신고자를 우대해주는 시스템과 이를 판별도 못하면서 멋대로 이유도 안알려주고 무작정 24시간 벤을 때리는 시스템은 가히 훌륭하지 못합니다.,0
솔직히 키보드로 게임하면 흥미 금방 떨어집니다. 레이싱 휠 쿠팡에서 몇만원 하는것만 사도 훨씬 재미있어집니다. 레이싱 휠 보유자들에게 강하게 추천하는 게임이며 DLC 구매시 게임의 질이 달라집니다.,1
진짜 너무하다 에픽게임즈 사실상 반서비스종료시킨거나 다름없음 국내에서는 락이 걸려서 접근성이 매우 떨어지고 이미 구매한 사람은 인게임 내에 크래딧 구매가 막혀서 새로운 차나 아이템이 나와도 보기만할뿐 구매할 수가 없음 스팀 사정은 그렇다치고 자기내들이 인수해 갔음에도 불구하고 에픽게임즈에서 무료로 풀리기는 커녕 몇달내내 국내 심의 절차문제라며 출시하지 않다가 이제는 게임 목록이 아예 사라져서 vpn같이 우회하는 방법이 아니고서는 게임 플레이가 힘들어졌으며 소문으로는 닌텐도나 플스같이 콘솔로만 독점시키고 있다고 들었음 게임자체는 재미있음에도 불구하고 에픽게임즈의 이러한 횡포를 봐서는 게임자체에 좋은 평가를 줘야할지 애매함,0
별빛의 그림자 속에서 퀘스트 진행중 컴퓨터 팅겻는대  그이후로 메인퀘진행이 안됩니다 ㅡㅡ,0
혼자하면 핑 좋게주고 다인큐 사람모아서 돌리면 핑 200으로 고정인거 왜하냐 개 병1신겜 하지마세요   이딴 게임에 스킨사고 한게 후회 오지게 듬 ㅇㅇ,0
"잘 만들어진 게임입니다. 감성적인 그래픽, 깔끔한 모션, 다양한 아이템, 자유도, 주요 스토리 진행까지 전반적으로 흠잡을 데 없습니다. 그러나 뉴비들에게는 오히려 이런 점이 진입장벽으로 다가가지 않을까 싶습니다.  게임을 제대로 즐기려면 진입장벽부터 무너뜨려야하는데, 슬프게도 게임이 쉽게 가이드를 제시해 주지 않습니다. 결국 스스로 연구하고 찾으며 플레이해야 합니다. 가장 효율적인 방법은 서칭이나 멀티 플레이를 통해 숙련자들에게 노하우를 전수받는 방식입니다.  배우고 시도할 땐 어렵지만 일단 숙련되고 나면 어마어마한 성장을 체감하게 되며 그만큼 재미가 보장됩니다. 이 과정에서 내가 생각보다 엄청나게 많은 시간을 이 게임에 투자하고 있다는 걸 알아차리게 됩니다...  한마디로 간단히 조리해서 맛보는 패스트푸드보다 사골국의 맛이라고 생각하시면 됩니다. 오래 묵힐수록 맛있어져요,,,",1
게임은 재미있지만 도전과제가 없어서 아쉽내요~,1
조금 재밌네요,1
그냥 너무 재미있어요 연인하고 같이하면 시간 가는 줄 모르고 게임할 수 있어요 물론 공부를 좀 하고 해야지 즐길 수 있어요 안 그러면 고통받다가 접을 수도.. ㅎㅎ,1
처음 접햇던 루트슈터 게임이고 시간 가는줄 모르고 게임했다 시즌 이 지날수록 이게임이 마음에 들어서 모든 스킨도 살 정도로 애정이 있엇다 하지만 기대와 달리 시즌이 거듭날수록 엇나가는 방향성과 너무 느린 스토리  무기 밸런스 오버스펙이면 팔다리 자르기.. 조정을 조금 애매하게 만들어 놓으면 그래도 쓰는 사람 안쓰는 사람 이 있을텐데  이게임은 그런거 없다 몸뚱아리만 남기고 팔다리 다 자르고 창고행으로 보내버리는데 무슨 애정으로 게임을 하겠나...  이게임은 나한테 신선하게 다가왔고 재미있게 플레이 했으며 길드원들이랑 레이드 가서 같이 플레이 했던것이 즐겁게 느꼇던 게임중 하나 이젠 추억팔이 게임이다,1
찬찬히~ 여유를 만끽하면서 하니까 좋은 힐링게임이네요.,1
강도가 총알 100발을 맞아도 안죽지만 발차기 한방에 뻗는게임 시민이 범인 앞에서 신고하는 게임 가면만 쓰면 폭력성이 늘어나 총을 못숨기는 게임 경비랑 부딪히면 갑자기 신고당하는 게임 무슨일이 있어도 차 앞유리는 못부수는 게임 손전등으로 한대 때렸다고 경찰이 항복하는 게임 경찰 30명중 29가 죽으면서 강도 하나 찢어놨더니 마법써서 10m밖에서 살리는 게임 경찰들이 전기절약 실천하는 게임 튕기고 튕겨서 탱탱볼 시뮬레이터인 게임,0
"아직 뉴비라서 잘모르겠음 , 겜은 재미있음",1
"사이비를 때려잡는 게임이라고? 나름 튜토리얼도 할만한데? 근데 계속 게임하다가 중간에 문제점이 좀 보임.  엔딩을 보려면 3구역 점령해야 하는데 강제로 퀘스트시킴 컷신 스킵은 대부분이 안되고, 아군인지 적인지 식별이 잘 안됨 그 밖엔 총쏘는거 훌륭히 재현했고, 멀티도 잘되서 괜찮았음  근데 뭐 다 좋았어요. 6,500원 밖에 안해서 그른가",1
이런 쌉 잣같은 게임 골드에서 6판 연속 핵 때문에 죽는게 말이 돼냐 진짜 아 개빡치네 서버 통합은 왜한거냐 스쿼드 하면 중국인 밖에 없어,0
"솔직히 말해서, 이 게임을 시작하기 전엔 그냥 서부 배경의 오픈월드 액션 게임이겠거니 했어요. 총 싸움하고 말 타고 다니고, 평범하게 미션 깨는 그런 식으로 흘러가겠지 했는데… 와, 이건 그냥 게임이 아니더라고요.    첫 화면에서 뿌연 눈밭을 보여줄 때부터 느낌이 달랐어요. 그래픽이 정말 말이 안 됩니다. NPC 얼굴 주름 하나하나가 살아 있는 것 같고, 햇빛이 나뭇잎 사이로 비치는 장면은 현실보다 더 현실같았어요. 진짜 처음에는 “이게 게임 그래픽이 맞아?” 싶었죠.   비 내릴 때 물웅덩이에 비친 말 그림자라든가, 눈 덮인 길 위로 말발굽 자국이 천천히 새겨지는 모습까지도 다 표현해 놓은 게 너무 인상적이었어요.   환경 하나하나가 그냥 배경이 아니라, 진짜 살아 있는 세상이더라고요.  그리고 또 하나 놀랐던 건, 캐릭터 감정선을 따라가는 흐름이에요.   이 게임은 단순히 “미션 주고 깨는 방식”이 아니라, 사람들과의 관계, 그 안에서 생기는 갈등이나 감정의 변화 같은 걸 정말 정교하게 짜놨어요.   진짜 플레이하다 보면 내가 게임을 한다기보다, 이 안에 있는 인물로 살아가고 있는 것 같은 느낌이 들 때가 많았어요.  말 몇 마디, 선택 하나, 대화 도중 표정 하나에도 무게감이 실려 있어서 괜히 나도 조심하게 되고… 그런 게 참 신기했어요.    예를 들어 누군가와 대화를 하는데, 그 인물의 과거 이야기를 듣고 나면 미션이 아니라 그 사람을 도와주고 싶다는 감정이 먼저 생겨요. 게임이 그만큼 감정선을 잘 유도한다는 거겠죠.   그리고 그 캐릭터들과 쌓이는 기억들이 시간이 갈수록 내 안에서 누적돼요. 어느 순간부터는 게임을 “클리어해야지”가 아니라, “이 사람들 지켜줘야지” 하는 감정으로 바뀌는 게 참 놀라웠어요.  음악도 말 안 하면 섭섭하죠.   진짜, 이 게임은 음악이 너무 미쳤어요.   배경음악이 막 현란하거나 튀지 않아요.  그런데 순간순간 분위기를 타고, 캐릭터의 감정을 타고, 조용히 따라오다가 어느 순간 확 몰입하게 만들어요.   사냥하다가 새소리와 함께 조용한 기타 선율이 흐를 때,   도시로 가는 열차를 탈 때 들리는 단조로운 리듬 하나까지도   그 장면에 완벽하게 녹아들어 있어요.  특히 말 타고 넓은 평원을 달릴 때 들리는 음악은 진짜... 설명이 안 됩니다.   풍경이랑 리듬이랑 캐릭터의 속마음까지 다 엮여서 흐르는데,   그때는 그냥 내가 진짜 서부를 살아가는 사람처럼 느껴져요.    그리고 총격씬.   와 이건 진짜 손맛 장난 아니에요.   게임하면서 이렇게 “총 쏘는 맛”이 나는 건 처음이었어요.   총마다 반동이 다르고, 사격 타이밍이 중요하고, 조준도 쉬운 게 아니라서   오히려 진짜 현실감 있게 느껴졌어요.   특히 데드아이 시스템은 정말 잘 만든 기능 같아요.   상대방을 순간 정지해서 조준하고, 긴박한 상황에서 확 몰아치는 그 쾌감…   단순히 화끈하게 싸운다기보다는, 뭔가 영화 같은 긴장감이 흐르더라고요.    그리고 전투 외에도 마을에서 일어나는 소소한 일들이 진짜 살아 숨 쉬는 듯한 느낌이었어요.   낚시도 해보고, 사냥도 해보고, 말도 길들이고, 캠프에서 사람들과 앉아서 커피 마시고 이야기 나누고…   그런 사소한 일들이 전혀 지루하지 않았어요. 오히려 그런 느릿한 호흡이 이 게임의 매력 중 하나였어요.   바쁘게 돌아가는 현실에서 잠깐 멈춰서,   말과 함께 자연을 달리며 시간을 보내는 게 얼마나 힐링이 되는지 몰라요.    이 게임의 진짜 대단한 점은,   누가 시키지 않아도 내가 “이렇게 해야겠다”고 느끼게 만든다는 거예요. 사람에게 친절하게 대하고 싶고, 내 말은 직접 아껴주고 싶고,   돈이 아닌 명예를 따라가고 싶어지는 그런 감정이 생겨요.   게임이 주는 스토리와 선택지, 그걸 통해 생기는 감정이 너무 자연스럽게 연결돼요.   그래서 어느 순간부터는 게임이 아니라, 하나의 삶처럼 느껴졌습니다.  내가 컨트롤하는 인물이지만,   이 인물이 겪는 감정과 선택, 그 안에서 내가 함께 느끼는 감정들이   참 묘하게 겹쳐져서 진짜 게임을 “산다”는 기분이 들었어요.  결말 이야기는 따로 안 하겠지만,   분명한 건 이 게임은 처음부터 끝까지 감정이 오르내리는 곡선이 너무나 정교하고, 진실했다는 점이에요.   웃기도 하고, 화도 나고, 답답하기도 하고, 어느 순간은 가슴이 먹먹해서 한동안 아무것도 못 하기도 하고…   그런 게임이 흔치 않잖아요.  이렇게 오래 여운이 남는 게임은 처음이에요.   진짜로요.   그리고 한 가지 확실한 건…   이 게임을 하고 나면, 다른 오픈월드 게임이 심심하게 느껴질 수도 있다는 점이에요.   이 정도 감정선을 따라가면서, 이 정도 몰입감을 주는 작품은 정말 드물거든요.  그래서…   정말 고맙더라고요.   이런 작품을 만날 수 있어서.",1
이 게임을 하고 서부극이라는 장르 자체에 빠지게 됨.  미친 고티 게임.,1
게임에 서사가 필요없다는 교훈을 준 게임입니다. 재밌어서 화납니다.,1
도파민 나오는 거 이거 만한 게 없음.,0
스토리 : 뇌 빼고 클리어하면되고 메인보다 서브가 재밋을때가 많음 그래픽 화려해서 에임 안잡힐때 있는데 그딴거 상관없이 그냥 범위 넓게 갈기면 됨.  결론: 그냥 뇌빼고 눈만가지고 학살하는 재미 + 파밍재미로 하면 할만함,1
서버 접속인원 0,0
